name,free_returns,items_sold,items_status,items_shipping,price
MINI FLAT SCREWDRIVER WITH MAGNET  TOP POCKET CLIP SMALL FOR PROFESSIONAL TECHS,True,,Brand New,0,549
16pc Small Mini Precision Screwdriver Set for Watch Jewelry Electronic Repair,True,1531,Brand New,,999
8Pcs 4in 1/4 Hex Shank Magnetic Cross Phillips Screw Head Screwdriver Bits Set,True,,Brand New,0,1098
"14 Pc 1/2"" Heavy Duty Impact Screwdriver Driver Set SAE Reversible w/ Metal Case",True,839,Brand New,0,1995
"Klein Tools 32561 6-in-1 Multi-Bit Screwdriver / Nut Driver, Stubby",True,186,Brand New,0,1289
100-Piece Magnetic Screwdriver Set with Plastic Racking Best Tools for Men Tools,True,,Brand New,150,3659
Torx Hex Bit Set 14PC Security Tamper Proof Torq Star Resistant S2 Steel T5 -T40,True,,Brand New,0,659
ACE 11-in-1 Multi Bit Screwdriver ,False,0,Brand New,,1299
Adjustable Screw Depth Bit Holder Magnetic Steel Screwdriver Drywall Bit,True,762,Brand New,,599
Security Tamper Proof Bit Set 33pc Torq Torx Hex Star Spanner Tri Wing Screwdriv,True,,Brand New,0,706
50Pcs Extra Long Security Bits Set Hex Torx Star Spline Flat Screwdriver Bit,False,75,Brand New,0,1984
T8/T9/T10 Tamper Proof Screwdriver Security Torx Driver Disassembly For XBOX PS4,True,242,Brand New,0,284
Klein Tool 15-in-1 Multi-Bit Ratcheting Screwdriver,False,181,Brand New,725,1999
10 Piece Screwdriver Set Magnetic Steel Tip Demagnetizer Magnetizer Tool,True,,Brand New,0,1699
6 PC Precision Screwdriver Set Eyeglass Watch Jewelry Repair Cell Micro Small,True,315,Brand New,0,499
Security Bit Set Tamper Proof Screwdriver Drill Bit Screw Driver Bits,False,,Brand New,0,963
3 Pc Demagnetizer Magnetizer Tool Screwdriver Magnetic Pick Up tool Tips Screw,False,416,Brand New,0,1256
Craftsman 14 piece Screwdriver Set 6 Phillips & 7 Slotted Flat Head,False,,Brand New,300,3999
Maxcraft 2-in-1 Pocket Clip Screwdrive Phillips and Flat Head Yellow,True,,Brand New,0,395
Craftsman CMHT65034 T6 x 2 in. L Torx No.6 Screwdriver,True,79,Brand New,0,498
"Craftsman 41853 Phillips Screwdriver #2 x 6"" USA",False,0,Brand New,390,600
