name,free_returns,items_sold,items_status,items_shipping,price
Ullman 5-5/8 in Slotted Flat Screw Starter MADE IN USA Alloy Steel Bit Magnetic,True,355,Brand New,,999
CRAFTSMAN Professional Ratcheting Screwdriver Angled Driver Grip DEU 47473,True,1009,Brand New,,1699
12 Pc Impact Duty Magnetic Nut Setter Driver Metric SAE Quick Release/Change Set,False,164,Brand New,,1979
"Craftsman 1/4"" Magnetic Screwdriver With 7 Bits - # 47490 - USA - NOS",False,0,Brand New,540,1599
Channellock 6 in 1 Screwdriver 61A  6-1 Phillips #1 #2 Slotted Flat 1/4 5/16 USA,True,180,Brand New,,1288
2pcs Screwdriver Magnetizer Degaussing Demagnetizer Change Magnetism Tool US,True,,Brand New,0,525
12pc Torx Bit Set Quick Change connect impact driver drill Security Tamper Proof,True,0,Brand New,0,1089
8pcs Torx Screwdriver Bit Set Hex Security Magnetic Head 100MM Extra Long T8-T40,True,,Brand New,0,999
12-Piece Magnetic Torx Screwdrivers Set S2 Security Tamper Proof Star Cloth Bags,True,,Brand New,0,1999
106 In 1 Magnetic Precision Screwdriver Phone PC Ipad Repair Tool Bits Kit Set,False,,Brand New,0,1869
110 in1 Precision Screwdriver Set Non-Slip Magnetic Nutdrivers Repair Tool Kit ,False,0,Brand New,0,1899
Matco tools promotional mini pocket clip pry bar green handle small new tool ,True,,Brand New,0,699
"14 pc Power Nut Driver Bit Set Quick Change Dual SAE 1/4"" Metric MM Detent Shank",True,,Brand New,0,699
Lenox 23931 6-in-1 All-In-One Screwdriver / Nut Driver ,False,,Brand New,0,1095
New ListingSouthwire 4-In-1 Magnetic Precision Screwdriver,False,,Brand New,525,600
14PC Torx Hex Bit Set Security Tamper Proof Torq Star Resistant S2 Steel T5 -T40,True,,Brand New,0,699
"Klein Tools 65064 Hex Head 2-in-1 Nut Driver, 1/4-Inch and 5/16-Inch",True,421,Brand New,0,1639
  603-7 #2 Phillips Screwdriver 7-Inch Round Shank,False,0,Brand New,0,1299
7 Pc PROFESSIONAL NUT DRIVER SET SAE,False,0,Brand New,600,399
