name,free_returns,items_sold,items_status,items_shipping,price
New ListingFear #6 (1972) Marvel Comics VG/FN,False,,Pre-Owned,525,1299
New ListingSpider-Man Adventures # 1 & 2 Newsstand High Grade Marvel Comics 1994,False,,,749,1499
"50 Comic Book HUGE lot - Marvel, DC, & Independent Comics! MINIMUM $200 VALUE!!!",False,526,,1399,1999
New ListingForbidden Frankenstein 1 2 Dracula's Daughter Anton Drek Fantagraphics comics ,False,,Pre-Owned,900,7999
New ListingDetective Comics 461 VG+ 4.5 * 1 Book Lot * Batman! Tim Trench! Pablo Marcos!,True,,,750,99
New ListingDetective Comics 467 FN 5.5 * 1 Book Lot * Batman! Hawkman! Marshall Rogers!,True,,,750,99
GRIMM | Zenescope C to O | VARIANT | EXCLUSIVE | SPECIAL | WONDERLAND,True,,,450,245
Sheena 1 Queen of the Jungle (2) Book Set 2021 Besch And  Parrillo Covers NM🔥,False,,Brand New,457,699
Dark Ages #2 Marvel Comics 2021 NM+,True,12,,299,399
New ListingArchie and Me #578 VG+ 1987 Special Camp Issue (Archie Comic Books Giant Series),True,,Pre-Owned,355,300
,False,,,,
Sheena 1 Queen of the Jungle (2) Book Set 2021 Besch And  Parrillo Covers NM🔥,False,,Brand New,457,699
HULK #1 6 COVER SET A B C D E F(Blank) 2021 DONNY CATES | Marvel | 11/24,False,,Brand New,595,2399
New ListingThe Amazing Spider-Man #143 1975 Marvel Comic Book 1st App Cyclone and MJ Kiss,False,,,495,2995
PHENOM X #1 McFarlane Variant Cover B | Image |  11/10 (6.99 cover) | Optioned ,False,,Brand New,459,499
Marvel and DC mixed comic book lot of 100 no duplicates,False,,New (Other),1000,6500
New ListingTHE MAN OF STEEL # 1 - Superman - Near Mint -  John Byrne DC Comics -1986,False,,New (Other),388,495
New ListingAmazing Spider-Man Omnibus HC 1st Edition #3B-1ST FN 2017 Stock Image,True,,,650,8900
New ListingAmazing Spider-Man #238 (7.0 FN/VF)🔥1st Hobgoblin KEY🔑Newsstand HAS Tattooz!,True,,Pre-Owned,400,33500
New ListingBatman 404 NM 9.2 * 1 Book * Year One Part 1! Frank Miller & David Mazzucchelli!,True,,,750,99
New ListingUncanny X-Men # 160 - CGC 9.6 NM+ WP! 1st appearance of adult Illyana (Magik)!,True,,New (Other),1825,15100
Hawkeye Kate Bishop #1 Cover A B C D Variant Set Options 2021 Presale 11/17,True,,,425,379
New ListingLot Of 2 Archie Jughead Comic Books. 1975 Bronze Age. One Giant Series No. 233,False,,Pre-Owned,700,999
GUN HONEY #2 (OF 4) CVR A LIM (MR) BY TITAN COMICS,False,0,New (Other),425,750
🚨💥🔑 SUPERMAN SON OF KAL-EL SET #1-4 Third & Second Print 1st App Jay Nakamura,False,,Brand New,495,1595
G.I. Joe  Marvel Comics lot in great condition ,False,,New (Other),0,999
DC vs. VAMPIRES #1 (EJIKURE GLOW-IN-THE-DARK GITD TEAM VARIANT) ~ IN STOCK NOW!,True,,Brand New,599,999
STAR WARS: BOUNTY HUNTERS 1-17 NM 2020 Sacks Marvel Comics items sold separately,False,,Brand New,497,454
LOT OF 20 RANDOM MYSTERY Awesome Comic Books SILVER MARVEL XMEN 1ST APPEARANCES,False,,Pre-Owned,508,1500
50 Bulk Lot Assorted DC/Marvel/indies Comic Book No Duplicates Modern,False,18,,0,4600
New ListingMarvel superheroes secret wars vintage comic book lot All Keys,False,,New (Other),500,10000
The Chenoo #1 Graham Nolan Horror Comic indiegogo One Shot Monster NM+,False,0,Brand New,625,1999
RED ROOM TRIGGER WARNINGS #1 Pulp Fiction Homage Trey Antley Bundle 1:10 1:5,False,,Brand New,900,3000
New ListingRare Out of Print OOP Babylon 5 Comics Comic Books Issue #2 and #4 GC Free Ship,False,,Pre-Owned,550,1999
Dark Ages #3 Cover A B Variant Set Options 2021 Marvel Presale 11/10,True,,Brand New,425,389
New ListingAmazing Spider-Man #545 CGC 9.8 NM/MT 1:20 Variant Mephisto MCU HOT KEY Marvel ,False,,Brand New,0,39999
"NEW Comic Book Heat Press Pressed Comics for better grading Books, T Shirt Press",False,0,,0,18499
Archie's Ham Radio Adventure Comic Book NOS (1986),False,,,0,1000
DC VS Vampires 1 DC 2021 Kael Ngu Harley Quinn Batman Variant Trade,False,,Brand New,699,2500
HOUSE OF SLAUGHTER #1 Cover C Shehan FOIL - Limited and Allocated ,False,,Brand New,0,598
BATMAN CATWOMAN #1 MATTINA EXCLUSIVE VARIANT 2021 BLACK LABEL DC COMICS NM ,True,,,475,1899
New ListingLot of 24 RARE DELL Walt Disney's Donald Duck & Vacation Parade Comic Books,False,,Pre-Owned,1700,16000
"New ListingJim Butcher's The Dresden Files ""Dog Men"" Comic Books #1-6 Complete Series",False,,New (Other),0,2500
New ListingSuperman & Batman World's Finest Comic Book #10 DC Comics 2000 ,False,,Pre-Owned,399,499
New ListingMarvel Secret Empire #0 1 2 3 4 5 6 7 9 10 Omega FCBD - 12 Books High Grade,False,,,950,1999
Fantastic Four Epic Collection V1 New Ptg World’s Greatest Comic New Marvel TPB ,False,0,Brand New,395,2695
comic book lot of 60 Random Issues,False,0,Pre-Owned,1625,2000
CROSSOVER #9 COVER A SHAW IMAGE COMICS 2021 EB185,False,,Brand New,499,250
New ListingMarvel Comics Guardians Of The Galaxy Comic Book Lot 1990s Run,False,,Pre-Owned,530,999
🚨🔥😱 DC VS VAMPIRES #1 JORGE MOLINA 1:25 Card Stock Ratio Variant NM,False,0,Brand New,425,1399
🚨🔥🦇 VAMPIVERSE #1 CELINA 616 Virgin Variant A LTD 500 COA Vampirella,False,20,Brand New,425,1999
DARKHAWK #5 (OF 5) MARVEL   12/22  PRE-SALE ,False,,Brand New,625,399
"New ListingLot of 4 Daredevil COMIC BOOKS #305,306,313,323— All High Grade NM",False,,New (Other),885,295
King of Spies #1 Cover A B C D E Variant Set Options Presale 12/1,True,,Brand New,425,479
New ListingStar Wars Vader Down 1 2 3 + Chewbacca 1 2 - Marvel Comics 5 Book Set High Grade,False,,,950,1199
Nocterra Vol 1 TPB 1st Print + Signed Book Plate Scott Snyder Tony S Daniel ,False,0,Brand New,595,1099
Swamp Thing #9 DC 2021 VF/NM Comics Book ,True,,,500,369
"New ListingSpace Adventures - Mixed Lot of 9 comic books, Marvel & DC (L020)",False,,Pre-Owned,445,1800
New ListingDetective Comics 335 VG 4.0 * 1 Book Lot * Batman! Robin! Elongated Man! DC 1965,True,,,750,99
New ListingDetective Comics 358 VG+ 4.5 * 1 Book Lot * Batman! Robin! 1st Spellbinder!,True,,,750,99
New ListingDetective Comics 449 VG 4.0 * 1 Book Lot * Batman! Elongated Man! Flash! DC 1975,True,,,750,99
New ListingAMAZING SPIDER-MAN #61 CGC Graded 9.8 New Suit! Marvel Comics 2021,False,,,1595,3999
New ListingAMAZING SPIDER-MAN #394 (1994) NM Comic Book. THE TRAVELLER Collector’s Edition,False,,New (Other),870,8900
New ListingSilver Surfer #44 1st Appearance of the Infinity Gauntlet Marvel Comics 1990,False,,,649,2499
New ListingDC Comics New 52 Flash TPB Lot of 8 Books,False,,,700,7900
Brzrkr (Berzerker) #4 Boom Studios Cover F Grampa Virgin 1:25 Variant,False,0,,499,499
New ListingComic books ,False,,Brand New,0,35400
New Listingcomic books,False,,New (Other),870,2700
GUN HONEY #2 MCGINNIS VIRGIN VARIANT 2021 TITAN COMICS 10/20/21 NM,True,0,,475,379
"Spider-Man #1 ""Torment"",  CGC 9.8!  Todd McFarlane at his Marvel ""Spidey"" best!",False,0,New (Other),1500,16000
HUGE 100 COMIC BOOK LOT-MARVEL DC INDIES- FREE Shipping! VF to NM ALL N0 Dupes,True,0,,0,8999
"New Listing2 Comic Books Star Trek: Countdown Official Prequels #2, 3 IDW 2009 First Prints",False,,New (Other),319,600
"New ListingDawn Sirius Comic Books Lot #1,2,3,4,5,6 Volume 1 Complete Set 1995",False,,,0,2499
Venom #1 Ewing Inhyuk Lee Variant Marvel Comic 1st Print 2021 unread NM,True,,,485,563
New ListingSTAR WARS Blood Ties #1-4 Boba Fett Comic Set DARK HORSE COMICS FREE SHIPPING,False,,New (Other),0,4999
Looney Tunes Vol 3 #253 DC Comics (2020) NM 1st Print Comic Book,True,,New (Other),299,458
THOR #15 KAEL NGU EXCLUSIVE VIRGIN VARIANT 2021 MARVEL COMICS NM,True,,,475,2999
,False,,,,
New ListingBLASTOSAURUS #1 Comic Book RARE (GOLDEN APPLE BOOKS 2019) NM - Eiding,False,,Pre-Owned,0,1997
🔥🦇 DC VS. VAMPIRES #1 MASSAFERA Trade Dress Batgirl Homage Variant LTD 3000,False,0,Brand New,425,1499
New ListingNYX #1 Parrillo Main Cover A + Rose Besch Variant DYNAMITE NM  ,True,,Brand New,595,795
New ListingJughead’s Diner #1 FN 1990 (Archie Comic Book Series),True,,Pre-Owned,355,400
Detective Comics No.27 Special Edition Reprint 1st Batman Facsimile Never Open ,False,,Brand New,,9999
100 Comic Book HUGE lot - All DIFFERENT - Only MARVEL Comics - FREE Shipping!,True,0,,0,14999
New ListingDAREDEVIL #1 (MARVEL 2019) RAMOS SKRULLS VARIANT COVER NM+ 9.8 CGC,False,,Brand New,1465,600
"New ListingJim Butcher's The Dresden Files ""Down Town"" Comic Books #1-6 Complete Series",False,,New (Other),0,2000
MIRKA ANDOLFO SWEET PAPRIKA #4 (OF 12) CVR E ANDOLFO (MR),False,,New (Other),425,450
New ListingBeavis and Butthead Comic Books #1 thru #25 & #27 ~ #1 SIGNED BY RICH PARKER NM,False,,Brand New,400,22500
New ListingBrzrkr 4 Ward Foil 5 Book Lot,False,,Brand New,600,99
New ListingDetective Comics 464 VG+ 4.5 * 1 Book * Batman! Atom! Black Canary! Mike Grell!,True,,,750,99
Phenom X #1 Cover A B Variant Set Option Leguizamo McFarlane Image Presale 11/10,True,0,,425,659
BARBARELLA #4 CVR Q MUSABEKOV 1:15 VIRGIN VARIANT 2021 DYNAMITE 10/27/21 NM,True,,,475,599
Barbarella #1 - 4 You Pick From Main & Variant Covers Dynamite Comics 2021,False,0,Brand New,431,399
PHENOM X #1 1 :10 McFarlane B&W Variant Cover  | Image | Avail 11/10| Optioned,False,,Brand New,459,1079
COMIC BOOK LOT - BOX  - VF/NM  Raw Books Marvel DC Image - Free Shipping,False,,Pre-Owned,0,3000
WHATS THE FURTHEST PLACE FROM HERE #2 DLX ED 7 INCH RECORD | Image |  12/8,False,0,Brand New,599,1498
New ListingHarbinger Comic Books #12 13 15 17 19-25 29 34 + Files #1 Harada Origin Valiant,True,,,399,2419
HUMAN TARGET #1 (OF 12) COVER A GREG SMALLWOOD (MR) DC COMICS 2021 RB09,False,,Brand New,499,300
New ListingAvengers Heroic Age #1 NM Marvel Comics 2010,True,,New (Other),449,1495
New ListingX-MEN Comic Books  Lot of 3 complete & 1 G.I Joe ,False,,,319,699
New ListingSomething is Killing the Children #12 Peach Momoko 1:25 Virgin Variant BOOM! NM+,True,,New (Other),499,3999
New ListingThe Amazing Spider-Man # 363 Venom Carnage Marvel Comics 1992,False,,,649,1999
"New ListingThe Swamp Thing #1 (2021, DC, First Print) 1st Appearance Levi Kamei",False,,Brand New,499,2000
Comic Book Grab Bag Lot 20 Issues! DC Marvel Image Independent Buy 4 Get 1 Free!,False,,New (Other),0,1495
SOUL PLUMBER #1 1ST PRINT MAIN COVER DC COMICS 2021,False,,Brand New,599,1600
X-MEN BLUE #29 (2018 MARVEL Comics) ~ VF/NM Book,False,,,494,199
Eaglemoss DC Comics Graphic Novel Collection Hardcover Books TPB YOU PICK ,True,,Brand New,0,695
 GUNSLINGER SPAWN #1 LOT OF ALL 7 MAIN COVERS - A/B/C/D/E/F/G - Cover Set ,False,,Pre-Owned,0,2195
DC Horror Presents Soul Plumber #3 Cover A B Variant Set Options Presale 12/8,True,,Brand New,425,389
