name,free_returns,items_sold,items_status,items_shipping,price
New ListingMarvel lot of 6 vintage: THE ETERNALS 1985/86,False,,,445,1600
New ListingDC Comics Presents #26 NM Comic Book 1st Teen Titans Appearance Raven Flash J577,True,,,498,225
New ListingSpider-Man Adventures # 1 & 2 Newsstand High Grade Marvel Comics 1994,False,,,749,1499
"50 Comic Book HUGE lot - Marvel, DC, & Independent Comics! MINIMUM $200 VALUE!!!",False,526,,1399,1999
New Listing9 New Mutants Marvel Comic Books # 15 16 17 19 20 21 22 23 24 Wolverine J577,True,,,498,99
Marvel and DC mixed comic book lot of 100 no duplicates,False,,New (Other),1000,6500
"●☆ Mystery Comic books #2 (Unsorted, Great Condition) 25 Books Per lot ☆●",False,,,508,2500
Dark Ages #2 Marvel Comics 2021 NM+,True,12,,299,399
,False,,,,
"Notti & Nyce #1  SET of 2 ""Red Panties""   Ltd. Ed. 50  Comic Books",False,,,899,3395
Sheena 1 Queen of the Jungle (2) Book Set 2021 Besch And  Parrillo Covers NM🔥,False,,Brand New,457,699
HULK #1 6 COVER SET A B C D E F(Blank) 2021 DONNY CATES | Marvel | 11/24,False,,Brand New,595,2399
New ListingLot of 25 Batman Related Comics - DC Comic - Copper Thru Modern Age Books,True,,Pre-Owned,500,4595
New ListingBlackhawk 135 VG/FN 5.0 * 1 Book Lot * DC 1959! Dick Dillin! Sheldon Moldoff!,True,,,750,99
New ListingX-Men Gold #1 & #2 Marvel Comics 2017 NM,False,,Pre-Owned,595,999
GRIMM | Zenescope C to O | VARIANT | EXCLUSIVE | SPECIAL | WONDERLAND,True,,,450,245
New ListingDetective Comics 451 FN 5.5 * 1 Book Lot * Batman! Robin! Ernie Chan!  ,True,,,750,99
HUMAN TARGET #1 (OF 12) COVER A GREG SMALLWOOD (MR) DC COMICS 2021 RB09,False,,Brand New,499,300
Hawkeye Kate Bishop #1 Cover A B C D Variant Set Options 2021 Presale 11/17,True,,,425,379
New ListingDetective Comics 402 2nd Appearance Of Manbat,False,,Pre-Owned,625,2499
New Listing6 Action Comics Feat. Superman DC Comic Books # 437 477 480 481 482 483 J577,True,,,498,99
